"id","make_id","make_desc","model_id","model_desc","variant_id","variant_desc","motor_flag","fuel_type_id","fuel_type_desc","seating_capacity","vehicle_image","search_string"
2037,1000053,"MARUTI SUZUKI",1000201,800,1004767,"EX","Car",1,"Petrol",5,"maruti-800.jpg","MARUTI SUZUKI 800 EX"
2036,1000053,"MARUTI SUZUKI",1000201,800,1004766,"DX","Car",2,"Diesel",5,"maruti-800.jpg","MARUTI SUZUKI 800 DX"
2047,1000053,"MARUTI SUZUKI",1000201,800,1004777,"DUO AC LPG","Car",3,"LPG",5,"maruti-800.jpg","MARUTI SUZUKI 800 DUO AC LPG"
2050,1000053,"MARUTI SUZUKI",1000202,1000,1006699,"AC","Car",1,"Petrol",5,"maruti-dzire.jpg","MARUTI SUZUKI 1000 AC"
2051,1000053,"MARUTI SUZUKI",1000203,"ALTO",1004807,"AX","Car",1,"Petrol",5,"maruti-alto.jpg","MARUTI SUZUKI ALTO AX"
2058,1000053,"MARUTI SUZUKI",1000203,"ALTO",1004814,"LX CNG","Car",5,"CNG",5,"maruti-alto.jpg","MARUTI SUZUKI ALTO LX CNG"
2064,1000053,"MARUTI SUZUKI",1000204,"ALTO 800",1004780,"LX","Car",1,"Petrol",5,"maruti-alto.jpg","MARUTI SUZUKI ALTO 800 LX"
2068,1000053,"MARUTI SUZUKI",1000204,"ALTO 800",1004784,"LXI CNG","Car",5,"CNG",5,"maruti-alto.jpg","MARUTI SUZUKI ALTO 800 LXI CNG"
2080,1000053,"MARUTI SUZUKI",1000205,"ALTO K 10",1004795,"LX","Car",1,"Petrol",5,"maruti-alto.jpg","MARUTI SUZUKI ALTO K 10 LX"
2084,1000053,"MARUTI SUZUKI",1000205,"ALTO K 10",1004799,"LXI CNG","Car",5,"CNG",5,"maruti-alto.jpg","MARUTI SUZUKI ALTO K 10 LXI CNG"
2090,1000053,"MARUTI SUZUKI",1000206,"ALTO K10",1004805,"LXI","Car",1,"Petrol",5,"maruti-alto.jpg","MARUTI SUZUKI ALTO K10 LXI"
2095,1000053,"MARUTI SUZUKI",1000207,"A-STAR",1004820,"VXI ABS AT","Car",1,"Petrol",5,"maruti-alto.jpg","MARUTI SUZUKI A-STAR VXI ABS AT"
2101,1000053,"MARUTI SUZUKI",1000208,"BALENO",1004826,"ALPHA 1.2","Car",1,"Petrol",5,"maruti-baleno.jpg","MARUTI SUZUKI BALENO ALPHA 1.2"
2103,1000053,"MARUTI SUZUKI",1000208,"BALENO",1004828,"ALPHA 1.3","Car",2,"Diesel",5,"maruti-baleno.jpg","MARUTI SUZUKI BALENO ALPHA 1.3"
2119,1000053,"MARUTI SUZUKI",1000209,"CELERIO",1004844,"LXI","Car",1,"Petrol",5,"maruti-celerio.jpg","MARUTI SUZUKI CELERIO LXI"
2132,1000053,"MARUTI SUZUKI",1000209,"CELERIO",1004857,"LDI","Car",2,"Diesel",5,"maruti-celerio.jpg","MARUTI SUZUKI CELERIO LDI"
2127,1000053,"MARUTI SUZUKI",1000209,"CELERIO",1004852,"VXI CNG (O)","Car",5,"CNG",5,"maruti-celerio.jpg","MARUTI SUZUKI CELERIO VXI CNG (O)"
2158,1000053,"MARUTI SUZUKI",1000210,"CIAZ",1004862,"ALPHA 1.4 AT","Car",1,"Petrol",5,"maruti-ciaz.jpg","MARUTI SUZUKI CIAZ ALPHA 1.4 AT"
2157,1000053,"MARUTI SUZUKI",1000210,"CIAZ",1004861,"ALPHA 1.3 HYBRID","Car",2,"Diesel",5,"maruti-ciaz.jpg","MARUTI SUZUKI CIAZ ALPHA 1.3 HYBRID"
2190,1000053,"MARUTI SUZUKI",1000212,"DZIRE",1004894,"LXI","Car",1,"Petrol",5,"maruti-dzire.jpg","MARUTI SUZUKI DZIRE LXI"
2189,1000053,"MARUTI SUZUKI",1000212,"DZIRE",1004893,"LDI","Car",2,"Diesel",5,"maruti-dzire.jpg","MARUTI SUZUKI DZIRE LDI"
2203,1000053,"MARUTI SUZUKI",1000213,"EECO",1004907,"5 STR","Car",1,"Petrol",5,"maruti-eeco.jpg","MARUTI SUZUKI EECO 5 STR"
2204,1000053,"MARUTI SUZUKI",1000213,"EECO",1004908,"5 STR WITH A/C+HTR CNG","Car",5,"CNG",5,"maruti-eeco.jpg","MARUTI SUZUKI EECO 5 STR WITH A/C+HTR CNG"
2211,1000053,"MARUTI SUZUKI",1000214,"ERTIGA",1007045,"PASEO VXI","Car",1,"Petrol",7,"maruti-ertiga.jpg","MARUTI SUZUKI ERTIGA PASEO VXI"
2212,1000053,"MARUTI SUZUKI",1000214,"ERTIGA",1007046,"PASEO VDI","Car",2,"Diesel",7,"maruti-ertiga.jpg","MARUTI SUZUKI ERTIGA PASEO VDI"
